gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s),delta_x,delta_y,delta_z,delta_vx,delta_vy,delta_vz
-2.707004939036975615e+06,4.688701901693628170e+06,3.360427884700909723e+06,8.850764150276302367e-01,-8.576462646429215686e-02,-3.239761314232527528e-02,-6.433635372668504715e-01,3.501158135943114758e+00,-5.194009826518595219e+00,-1.172388910409698504e-01,3.217413509749669775e-02,-1.409229874467176832e-02
-2.707006374147314113e+06,4.688698007513057441e+06,3.360426286779758055e+06,9.598521399968218404e-01,-8.408200048098662949e-02,-7.640772061218187305e-02,-1.435110338497906923e+00,-3.894180570729076862e+00,-1.597921151667833328e+00,7.477572496919160372e-02,1.682625983305527373e-03,-4.401010746985659777e-02
-2.707003280324125662e+06,4.688706431220566854e+06,3.360420167723370716e+06,1.016239351912489930e+00,-1.218606198649350297e-02,1.846719630294144793e-02,3.093823188450187445e+00,8.423707509413361549e+00,-6.119056387338787317e+00,5.638721191566808955e-02,7.189593849449313345e-02,9.487491691512331404e-02
-2.707003923289729748e+06,4.688702137377824634e+06,3.360433277551501058e+06,1.007267387792655011e+00,-4.399796257226820662e-02,-1.082158201961717636e-01,-6.429656040854752064e-01,-4.293842742219567299e+00,1.310982813034206629e+01,-8.971964119834918705e-03,-3.181190058577470364e-02,-1.266830164991132046e-01
-2.707000854772011749e+06,4.688704191230369732e+06,3.360421195142551325e+06,1.061748692577423103e+00,2.534392436488437997e-02,1.277456263088184822e-02,3.068517717998474836e+00,2.053852545097470284e+00,-1.208240894973278046e+01,5.448130478476809202e-02,6.934188693715258311e-02,1.209903828270536136e-01
-2.707013329138588626e+06,4.688700723405449651e+06,3.360429381448897067e+06,9.803958284941644008e-01,-1.050006885087725189e-02,-5.043933309770958634e-02,-1.247436657687649131e+01,-3.467824920080602169e+00,8.186306345742195845e+00,-8.135286408325870244e-02,-3.584399321576163533e-02,-6.321389572859142936e-02
-2.706999167727103923e+06,4.688693929428775795e+06,3.360424262680678163e+06,1.062081795109200311e+00,-3.957870329263595000e-02,8.885896207441354791e-03,1.416141148470342159e+01,-6.793976673856377602e+00,-5.118768218904733658e+00,8.168596661503590983e-02,-2.907863444175869810e-02,5.932522930515093940e-02
-2.707001131041719578e+06,4.688694420146185905e+06,3.360419546941120178e+06,1.048099541572036664e+00,-2.964240550966291965e-02,3.602750754663477245e-02,-1.963314615655690432e+00,4.907174101099371910e-01,-4.715739557985216379e+00,-1.398225353716364694e-02,9.936297782973030346e-03,2.714161133919341939e-02
-2.706997543402361218e+06,4.688704889652402140e+06,3.360430101578173228e+06,9.848136219060713570e-01,-4.055601526905994181e-02,-3.632060822841550601e-02,3.587639358360320330e+00,1.046950621623545885e+01,1.055463705305010080e+01,-6.328591966596530671e-02,-1.091360975939702216e-02,-7.234811577505027846e-02
-2.707002899509039707e+06,4.688696711823047139e+06,3.360439624795272481e+06,1.044749224987643554e+00,1.240247430761934680e-03,1.932214753844295821e-02,-5.356106678489595652e+00,-8.177829355001449585e+00,9.523217099253088236e+00,5.993560308157219740e-02,4.179626269982187475e-02,5.564275576685846769e-02
